"","Routines","numSteps","N","user.time","sd","se","ci"
"1","crunBMLGrid1()",1000,20,0.11714999999999,0.00103998987848981,0.000232548806421496,0.000486730245664132
"2","crunBMLGrid1()",2000,20,0.225950000000012,0.0036197557346997,0.000809401988473322,0.00169409783156058
"3","crunBMLGrid1()",3000,20,0.334449999999993,0.00611705983726552,0.00136781616185595,0.00286287212877295
"4","crunBMLGrid1()",4000,20,0.444299999999987,0.015345494795756,0.00343135695116796,0.0071819126380557
"5","crunBMLGrid1()",5000,20,0.552699999999993,0.027077082949479,0.00605461981074355,0.0126724649041833
"6","crunBMLGrid1()",6000,20,0.651400000000024,0.0339587985653018,0.00759341820262371,0.0158932069532733
"7","crunBMLGrid1()",7000,20,0.755400000000009,0.0423735269888352,0.00947500867934575,0.0198314210815982
"8","crunBMLGrid1()",8000,20,0.860999999999979,0.0535428996718035,0.0119725563378604,0.0250588484079004
"9","crunBMLGrid1()",9000,20,0.966200000000015,0.0600075433854159,0.0134180946172558,0.028084394798243
"10","crunBMLGrid1()",10000,20,1.0704,0.0735107582531454,0.0164375052531587,0.0344040938893241
"11","crunBMLGrid2()",1000,20,0.618950000000024,0.0169192353939646,0.00378325604682252,0.00791844590998523
"12","crunBMLGrid2()",2000,20,1.23515,0.0240553637743457,0.00537894286229229,0.0112582567980656
"13","crunBMLGrid2()",3000,20,1.88390000000001,0.0105026312492587,0.0023484597415956,0.00491538272996911
"14","crunBMLGrid2()",4000,20,2.53185000000001,0.0420479363033216,0.00940220438878084,0.0196790399501817
"15","crunBMLGrid2()",5000,20,3.24195000000001,0.0921043315742344,0.0205951546422168,0.0431061540704188
"16","crunBMLGrid2()",6000,20,3.85105000000007,0.0860541292321319,0.0192422882707599,0.0402745722125593
"17","crunBMLGrid2()",7000,20,4.45409999999999,0.104745757356619,0.0234218633804098,0.0490225234542629
"18","crunBMLGrid2()",8000,20,5.03315,0.117273533156236,0.026223159209892,0.0548857030088827
"19","crunBMLGrid2()",9000,20,5.56869999999999,0.0681763193954759,0.0152446884624022,0.0319074996537685
"20","crunBMLGrid2()",10000,20,6.19805000000001,0.0950620157691962,0.021256512933808,0.0444903928833014
"21","runBMLGrid()",1000,20,1.03580000000001,0.0137710604262357,0.00307930272353204,0.00644505467115757
"22","runBMLGrid()",2000,20,2.06615,0.0358171893457783,0.00800896701401416,0.0167629606112943
"23","runBMLGrid()",3000,20,3.1377,0.0217039894465248,0.00485315957853675,0.0101577797377595
"24","runBMLGrid()",4000,20,4.21575,0.0680927192954772,0.0152259949117499,0.031868373602591
"25","runBMLGrid()",5000,20,5.45105000000001,0.184329646072052,0.0412173618885586,0.0862689298920054
"26","runBMLGrid()",6000,20,6.46139999999996,0.153372748557233,0.0342951891669956,0.071780655877005
"27","runBMLGrid()",7000,20,7.47455000000001,0.19440150394698,0.0434694977753641,0.0909827044768856
"28","runBMLGrid()",8000,20,8.47539999999998,0.251147136576383,0.0561582069739215,0.117540478048858
"29","runBMLGrid()",9000,20,9.30495000000002,0.121314933779396,0.0271268438616614,0.0567771367226357
"30","runBMLGrid()",10000,20,10.36555,0.139491359853125,0.0311912162905473,0.0652839659823677
